Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Attendance Rate
8,60,No,4,7,54.0,77
9,48,No,4,3,42.0,82
9,94,No,9,1,91.0,96
1,87,Yes,8,8,61.0,74
9,77,No,9,9,74.0,89
7,61,Yes,4,7,54.0,92
9,82,Yes,5,5,81.0,88
8,62,Yes,4,2,52.0,91
1,88,Yes,9,1,65.0,58
8,43,Yes,7,3,36.0,78
8,68,No,7,3,61.0,81
3,54,Yes,5,0,35.0,67
1,40,Yes,8,8,15.0,63
8,93,Yes,6,9,88.0,73
3,69,No,4,7,45.0,72
3,68,Yes,9,6,49.0,79
1,59,Yes,8,5,33.0,82
5,72,Yes,9,2,60.0,75
7,80,No,8,3,71.0,77
9,83,Yes,4,1,81.0,84
7,75,No,6,6,67.0,91
9,99,No,4,1,95.0,97
8,61,Yes,6,9,58.0,74
2,52,No,9,0,29.0,72
1,46,No,5,5,21.0,65
7,47,Yes,6,3,38.0,80
7,67,Yes,8,7,60.0,74
8,84,Yes,5,0,76.0,83
5,82,Yes,9,8,69.0,80
3,48,No,7,5,30.0,54
8,64,No,5,1,57.0,81
6,95,Yes,6,7,81.0,91
3,55,Yes,5,4,36.0,70
1,49,Yes,9,4,25.0,64
3,50,No,5,4,27.0,54
5,70,Yes,9,6,61.0,77
3,51,No,7,6,34.0,66
1,99,No,6,9,76.0,79
5,70,No,8,6,57.0,77
7,53,No,5,9,45.0,78
7,90,Yes,4,1,76.0,100
9,83,Yes,8,7,83.0,91
3,71,Yes,5,0,50.0,78
7,89,No,8,1,81.0,88
1,92,No,4,6,66.0,65
4,56,Yes,8,3,38.0,71
4,74,No,8,9,56.0,79
5,40,No,4,9,25.0,88
7,68,No,4,8,56.0,77
7,90,Yes,4,8,82.0,92
4,43,Yes,7,2,23.0,65
7,62,Yes,9,2,56.0,68
3,67,No,9,8,46.0,85
6,55,Yes,4,9,43.0,80
2,51,Yes,9,7,30.0,75
9,92,Yes,8,0,92.0,85
5,60,No,4,5,45.0,87
6,84,No,5,6,70.0,71
4,56,No,4,7,36.0,76
7,79,No,4,1,71.0,100
9,52,No,9,0,49.0,66
7,91,Yes,6,3,82.0,84
1,97,Yes,8,0,71.0,85
1,71,No,9,1,43.0,68
9,76,No,8,2,77.0,73
9,89,Yes,5,3,86.0,91
4,54,No,7,5,34.0,60
9,51,No,6,7,49.0,80
3,88,No,5,8,69.0,75
7,96,No,5,3,84.0,100
6,54,No,8,0,41.0,65
8,73,Yes,6,4,68.0,80
9,45,Yes,8,4,44.0,81
5,56,No,7,8,41.0,61
1,87,No,8,5,58.0,81
3,88,Yes,4,4,68.0,95
8,96,No,8,9,94.0,79
6,59,Yes,4,9,47.0,76
8,48,No,5,4,40.0,74
9,98,Yes,7,7,100.0,100
4,44,Yes,9,0,23.0,54
1,62,No,4,4,36.0,58
1,72,No,7,0,47.0,79
4,77,Yes,8,6,60.0,83
7,95,No,9,6,83.0,92
2,53,Yes,8,9,33.0,72
3,56,No,5,7,36.0,64
1,96,No,8,6,74.0,88
5,58,No,4,8,42.0,75
1,72,Yes,5,7,47.0,68
8,40,Yes,7,7,31.0,85
1,52,No,5,2,26.0,70
1,85,Yes,7,9,58.0,68
2,66,No,6,3,42.0,79
2,45,Yes,4,3,18.0,54
6,98,No,4,0,85.0,97
7,45,Yes,7,5,36.0,81
5,72,Yes,8,1,58.0,72
1,69,Yes,9,8,45.0,83
1,85,Yes,8,0,60.0,84
3,74,Yes,6,0,56.0,86
2,62,Yes,7,9,42.0,90
5,49,No,6,5,33.0,67
6,90,No,7,0,77.0,80
7,58,Yes,6,2,51.0,68
4,90,No,7,9,72.0,77
7,67,Yes,4,1,57.0,78
8,62,No,6,8,53.0,80
1,43,No,6,4,16.0,65
6,59,No,7,5,45.0,81
8,58,No,5,1,49.0,76
5,81,Yes,5,7,67.0,96
4,66,No,4,5,49.0,73
2,96,No,8,7,73.0,100
6,73,No,8,7,65.0,88
6,43,Yes,4,0,27.0,59
1,95,No,8,6,72.0,75
9,77,Yes,9,1,74.0,90
6,46,Yes,9,7,38.0,69
3,87,No,9,1,67.0,89
4,46,Yes,9,3,28.0,71
4,89,No,7,1,73.0,85
3,91,No,5,6,72.0,77
3,65,No,4,4,42.0,59
3,65,No,7,8,47.0,71
4,93,No,9,4,77.0,95
7,58,No,4,7,49.0,77
4,48,No,5,1,30.0,56
9,59,Yes,8,2,54.0,79
1,81,Yes,7,5,56.0,82
8,84,No,5,6,75.0,78
7,89,No,4,9,78.0,89
2,55,Yes,6,7,32.0,69
8,93,No,7,2,89.0,81
1,56,Yes,4,6,29.0,71
9,61,Yes,4,7,57.0,84
9,52,No,5,9,48.0,85
2,51,No,4,5,27.0,76
7,49,Yes,7,3,38.0,58
3,40,Yes,9,5,18.0,54
7,71,No,7,8,66.0,87
9,69,No,4,2,65.0,87
4,47,Yes,5,1,27.0,71
1,60,Yes,7,4,33.0,100
2,61,Yes,6,6,37.0,76
1,57,No,9,2,29.0,78
5,41,No,8,4,26.0,75
5,87,No,5,3,72.0,91
7,83,Yes,5,6,77.0,84
9,48,Yes,8,1,45.0,81
9,42,No,8,6,41.0,65
3,93,Yes,7,1,73.0,83
3,65,Yes,4,2,43.0,69
3,60,Yes,4,4,39.0,72
4,69,Yes,6,6,54.0,99
8,67,Yes,9,5,62.0,64
6,75,No,4,6,63.0,87
8,65,No,6,5,59.0,65
1,73,No,6,0,46.0,70
8,47,No,5,4,42.0,83
4,49,No,5,0,30.0,68
1,87,Yes,9,6,63.0,71
8,94,Yes,7,3,89.0,85
4,82,Yes,8,4,62.0,87
6,89,No,8,0,77.0,80
8,93,Yes,9,7,88.0,93
4,53,Yes,6,3,35.0,70
3,79,Yes,9,2,60.0,74
9,94,No,8,0,92.0,100
3,54,Yes,6,3,38.0,77
9,56,Yes,8,2,56.0,60
2,92,No,7,7,70.0,86
2,57,No,5,8,35.0,64
2,71,Yes,5,4,47.0,82
6,77,No,6,8,66.0,75
3,62,Yes,9,0,43.0,72
9,85,No,8,6,81.0,93
4,62,Yes,4,6,43.0,81
1,74,Yes,7,5,46.0,63
4,78,No,8,3,61.0,77
1,54,No,4,8,27.0,62
5,92,No,7,2,77.0,81
4,63,No,7,0,43.0,89
8,67,Yes,5,1,60.0,84
8,55,No,6,2,48.0,64
7,55,Yes,8,1,47.0,83
3,79,Yes,7,5,60.0,99
1,78,Yes,8,6,53.0,87
1,45,No,7,4,19.0,49
3,41,Yes,9,4,23.0,61
6,93,Yes,5,6,81.0,100
7,52,No,6,5,41.0,66
6,83,Yes,4,7,71.0,88
6,86,Yes,4,8,75.0,93
6,98,Yes,9,1,89.0,83
3,48,No,5,1,28.0,66
6,73,Yes,7,0,60.0,50
8,56,Yes,5,6,54.0,68
2,66,Yes,6,3,41.0,70
5,68,No,4,8,52.0,65
1,76,No,8,5,53.0,92
1,82,No,4,6,52.0,64
5,61,Yes,6,6,47.0,71
3,90,Yes,7,7,71.0,86
4,63,Yes,5,3,42.0,86
3,46,Yes,4,2,21.0,51
1,73,Yes,4,2,48.0,86
1,87,No,8,9,64.0,82
5,51,Yes,5,7,38.0,62
6,62,Yes,8,2,49.0,80
3,54,No,8,7,35.0,72
9,72,No,7,1,73.0,80
5,96,Yes,4,4,81.0,89
8,52,No,9,4,47.0,71
1,62,No,5,6,36.0,71
5,77,No,7,4,63.0,87
3,71,Yes,9,8,52.0,91
1,84,No,7,2,58.0,68
4,89,Yes,7,8,77.0,100
5,74,No,6,0,58.0,61
7,40,Yes,6,2,33.0,68
1,86,Yes,7,3,67.0,88
3,97,Yes,6,5,76.0,89
2,84,No,5,9,62.0,75
9,44,No,4,7,37.0,69
6,96,No,9,6,86.0,86
3,52,Yes,5,7,37.0,65
8,93,No,4,5,88.0,99
8,44,No,6,5,38.0,74
2,99,Yes,9,5,76.0,80
6,71,No,5,2,57.0,87
7,90,Yes,8,9,82.0,92
2,60,No,7,3,35.0,77
2,63,Yes,4,5,41.0,78
1,99,Yes,4,6,75.0,78
8,57,No,8,2,51.0,71
1,60,Yes,8,3,34.0,76
9,93,No,7,5,92.0,98
6,49,No,6,0,39.0,71
7,63,No,5,6,56.0,79
7,79,No,5,0,69.0,95
3,86,Yes,5,9,69.0,78
2,60,Yes,6,8,40.0,77
9,64,Yes,7,9,63.0,79
8,91,No,5,8,86.0,89
7,99,No,4,8,89.0,100
9,96,Yes,4,3,94.0,100
4,98,Yes,4,1,79.0,95
4,62,No,8,6,44.0,85
1,61,No,8,3,33.0,69
8,43,No,6,4,36.0,76
3,73,Yes,5,0,50.0,73
7,95,No,8,9,94.0,97
2,45,Yes,4,5,22.0,63
2,67,No,8,6,44.0,74
7,70,Yes,4,2,60.0,85
6,74,No,5,9,64.0,74
3,78,Yes,6,1,58.0,98
9,81,Yes,7,9,78.0,78
6,62,Yes,7,6,51.0,65
6,45,No,4,0,30.0,78
1,55,Yes,8,1,29.0,75
4,41,Yes,8,2,22.0,70
6,63,No,4,3,51.0,82
6,56,Yes,5,4,45.0,74
5,84,Yes,4,3,70.0,76
1,40,No,5,9,10.0,60
8,45,Yes,6,2,38.0,65
5,44,No,6,0,30.0,77
5,96,Yes,4,6,82.0,88
7,84,No,6,9,74.0,78
4,99,Yes,8,5,87.0,88
6,94,Yes,5,1,77.0,91
4,89,Yes,7,1,72.0,80
3,68,No,7,2,51.0,69
7,51,Yes,6,7,40.0,74
8,78,Yes,5,7,72.0,87
4,86,No,8,9,68.0,79
2,42,No,7,9,22.0,60
3,87,No,8,9,67.0,85
1,40,Yes,8,9,18.0,50
8,66,Yes,7,7,64.0,69
3,87,Yes,7,6,66.0,76
7,63,No,6,1,50.0,74
5,83,No,5,0,68.0,86
5,58,Yes,4,5,44.0,87
7,98,Yes,5,7,90.0,100
9,47,No,4,0,41.0,71
5,94,No,7,2,83.0,89
1,83,No,8,0,57.0,70
1,86,Yes,5,9,64.0,81
2,41,No,8,8,18.0,60
6,69,No,5,6,62.0,84
9,69,No,9,7,66.0,75
8,88,No,5,8,85.0,95
5,78,Yes,8,2,62.0,95
1,84,No,9,9,62.0,80
7,71,Yes,6,1,62.0,84
5,40,Yes,7,5,26.0,72
6,77,No,6,4,66.0,79
7,52,No,6,3,43.0,75
3,50,Yes,5,5,30.0,68
3,49,No,7,5,25.0,67
5,87,Yes,9,2,77.0,80
6,98,No,5,1,88.0,92
9,65,Yes,4,8,62.0,85
5,95,Yes,5,7,82.0,100
1,94,Yes,9,3,73.0,94
4,59,No,8,5,44.0,93
5,56,Yes,5,2,40.0,65
5,56,Yes,4,7,39.0,79
7,43,No,5,2,34.0,71
4,44,No,9,1,27.0,87
1,99,Yes,4,6,73.0,78
5,62,Yes,7,2,46.0,67
7,85,No,9,8,78.0,82
6,91,Yes,5,2,80.0,69
5,49,No,4,7,33.0,64
4,85,No,9,1,68.0,76
2,67,No,7,8,45.0,75
4,72,Yes,8,0,56.0,81
3,82,No,6,2,58.0,96
1,65,Yes,4,1,37.0,79
8,94,Yes,8,6,88.0,86
5,89,No,7,4,75.0,78
4,87,No,8,7,70.0,88
8,68,No,5,1,62.0,69
7,66,No,6,7,57.0,95
2,57,Yes,4,6,32.0,79
1,79,Yes,9,4,53.0,73
4,99,No,7,1,82.0,73
8,49,Yes,6,9,41.0,85
2,97,No,7,6,75.0,85
3,81,Yes,8,9,63.0,92
1,44,Yes,7,3,17.0,48
1,49,Yes,7,3,24.0,60
3,89,No,8,7,69.0,84
5,60,Yes,8,5,47.0,75
3,63,Yes,6,8,43.0,69
1,77,Yes,4,1,48.0,81
1,42,Yes,8,4,17.0,53
8,79,No,6,5,75.0,85
2,70,Yes,7,7,54.0,79
3,80,No,7,3,59.0,84
2,76,No,9,6,56.0,85
3,41,Yes,5,6,20.0,53
7,41,Yes,8,3,34.0,55
1,78,No,6,0,54.0,89
8,88,No,9,2,83.0,92
2,81,No,6,1,59.0,73
3,83,Yes,4,2,63.0,95
9,73,Yes,9,4,72.0,86
7,81,No,6,0,70.0,95
4,59,No,8,4,41.0,73
5,72,No,6,1,54.0,96
2,43,Yes,5,3,21.0,80
8,84,Yes,7,5,83.0,87
4,83,No,7,8,64.0,90
9,50,Yes,9,9,51.0,82
5,81,No,6,5,66.0,95
9,86,Yes,6,9,83.0,80
4,44,No,6,1,26.0,72
5,64,Yes,6,7,49.0,85
9,88,Yes,5,4,85.0,74
8,99,Yes,8,8,95.0,83
3,76,Yes,5,9,56.0,60
1,73,Yes,5,8,50.0,73
3,48,Yes,5,3,23.0,71
4,45,Yes,7,0,26.0,80
2,57,No,5,8,30.0,68
1,53,No,6,8,28.0,82
7,58,No,5,7,48.0,62
8,53,Yes,6,4,46.0,59
7,79,Yes,9,4,73.0,85
5,56,Yes,8,9,45.0,77
1,99,No,7,5,76.0,86
7,74,No,8,0,71.0,66
7,68,No,9,8,60.0,79
9,81,No,8,4,77.0,75
3,56,No,7,6,36.0,76
9,98,No,6,7,96.0,98
1,82,Yes,9,4,62.0,72
1,47,No,9,2,22.0,60
4,40,Yes,6,5,21.0,54
9,84,No,6,6,79.0,87
6,92,No,7,3,82.0,98
3,75,Yes,5,8,55.0,69
1,46,Yes,4,3,22.0,69
4,85,Yes,5,9,70.0,79
9,44,No,5,1,37.0,63
3,63,No,8,8,42.0,72
9,67,Yes,4,3,64.0,72
7,82,No,6,3,72.0,80
4,56,Yes,5,9,42.0,62
3,76,No,7,0,56.0,96
5,59,No,5,1,43.0,73
5,42,No,6,2,24.0,59
3,76,Yes,5,6,55.0,80
9,65,No,9,8,64.0,81
4,54,Yes,8,4,34.0,67
5,90,Yes,8,3,78.0,93
4,87,Yes,5,1,71.0,91
5,47,Yes,8,6,33.0,64
7,52,Yes,7,5,46.0,69
9,87,Yes,4,6,86.0,88
7,42,Yes,5,7,34.0,48
5,40,Yes,7,8,26.0,52
7,48,Yes,9,9,44.0,86
5,70,No,7,4,53.0,92
3,80,Yes,7,4,61.0,78
7,93,No,9,3,84.0,95
2,65,Yes,6,2,40.0,75
9,56,No,5,6,53.0,100
1,95,No,5,4,67.0,93
6,73,No,5,6,58.0,78
7,48,No,4,1,41.0,64
8,95,No,7,8,89.0,77
9,90,No,5,8,85.0,92
2,52,Yes,8,8,33.0,62
2,44,Yes,6,4,20.0,51
5,80,Yes,9,9,66.0,76
5,52,Yes,9,8,38.0,61
6,40,Yes,4,0,25.0,81
3,64,Yes,9,1,43.0,81
8,86,No,6,9,79.0,88
1,43,Yes,7,4,16.0,76
6,75,No,9,4,67.0,83
4,91,No,9,5,80.0,80
1,49,No,8,7,26.0,80
7,67,No,7,0,57.0,84
9,96,No,5,9,91.0,83
4,45,No,6,8,29.0,66
4,66,Yes,9,3,48.0,67
6,95,No,8,7,84.0,77
3,51,No,6,4,33.0,77
6,91,Yes,4,0,82.0,100
7,87,Yes,8,8,81.0,76
3,42,Yes,4,7,24.0,70
7,85,Yes,9,4,81.0,83
3,72,Yes,8,3,54.0,73
2,49,Yes,5,7,25.0,60
4,70,Yes,6,8,53.0,69
8,54,No,6,6,48.0,76
9,46,Yes,7,3,40.0,64
7,75,No,8,6,66.0,85
1,53,Yes,8,5,29.0,67
3,95,Yes,4,2,73.0,83
9,87,No,8,9,89.0,83
1,53,Yes,6,2,27.0,61
9,42,Yes,8,0,40.0,79
8,88,Yes,7,4,83.0,94
1,92,Yes,7,7,69.0,75
6,85,Yes,6,5,72.0,86
5,89,Yes,6,7,77.0,94
6,42,Yes,6,6,32.0,53
5,61,No,8,1,49.0,80
6,58,Yes,8,7,44.0,67
5,74,No,5,3,57.0,84
5,51,No,9,4,34.0,62
4,93,No,9,7,76.0,70
3,44,No,4,4,22.0,50
3,49,No,8,4,30.0,68
4,80,No,5,5,67.0,85
9,72,No,5,6,71.0,76
2,52,Yes,7,8,29.0,73
9,74,Yes,8,6,74.0,70
1,90,Yes,5,5,67.0,82
1,71,No,7,9,46.0,63
5,50,Yes,4,3,34.0,63
6,87,No,7,9,76.0,87
6,77,No,4,1,64.0,74
3,63,Yes,9,8,46.0,71
7,74,No,9,9,68.0,92
9,58,No,6,4,58.0,74
8,45,Yes,6,4,41.0,80
6,79,No,7,2,64.0,71
8,93,Yes,6,2,84.0,95
5,84,No,8,0,70.0,97
8,83,No,7,4,77.0,64
4,81,Yes,5,2,60.0,73
8,74,Yes,8,1,65.0,87
2,43,Yes,7,8,21.0,62
5,72,No,9,9,60.0,83
9,52,No,4,5,48.0,70
4,95,Yes,6,2,77.0,88
6,75,Yes,6,6,63.0,80
1,93,Yes,6,8,68.0,94
9,82,No,7,8,81.0,91
1,58,No,8,0,29.0,70
5,82,Yes,4,1,66.0,79
4,51,Yes,6,7,36.0,66
3,50,Yes,8,0,29.0,63
6,45,No,5,2,32.0,72
2,51,Yes,9,6,31.0,64
3,66,Yes,5,7,45.0,76
5,80,Yes,4,4,65.0,100
9,64,No,6,1,57.0,87
2,81,No,5,2,58.0,76
8,42,Yes,9,8,38.0,82
2,42,No,8,9,22.0,61
5,59,Yes,8,6,48.0,56
7,67,Yes,5,0,59.0,70
8,62,Yes,6,2,58.0,62
1,87,Yes,9,8,62.0,78
6,42,No,4,6,30.0,68
1,81,Yes,6,1,56.0,94
2,63,Yes,7,5,40.0,75
1,82,No,5,8,59.0,78
5,79,Yes,7,3,65.0,90
9,45,No,5,9,43.0,53
6,59,Yes,4,1,48.0,77
1,50,Yes,6,2,24.0,72
1,71,Yes,9,6,51.0,63
2,99,Yes,6,3,81.0,99
9,66,No,5,6,62.0,84
3,60,Yes,8,4,43.0,69
1,83,No,7,7,63.0,87
5,87,No,9,7,73.0,100
7,89,No,9,4,76.0,88
6,52,Yes,6,6,43.0,75
1,61,No,6,5,34.0,65
5,74,No,5,7,57.0,71
5,86,No,8,8,72.0,92
6,61,Yes,7,4,47.0,67
3,67,Yes,8,6,52.0,77
5,60,No,9,0,49.0,71
7,85,No,8,7,77.0,91
5,57,Yes,5,2,41.0,75
5,70,No,8,0,56.0,88
5,99,No,7,5,89.0,87
3,85,No,9,7,65.0,80
1,76,Yes,4,2,49.0,67
5,60,No,9,0,48.0,71
9,53,No,4,2,47.0,78
1,64,Yes,7,4,37.0,78
3,66,No,9,7,48.0,67
4,79,Yes,9,8,61.0,88
1,99,Yes,9,8,77.0,99
1,99,Yes,9,3,75.0,90
8,62,No,5,7,57.0,96
2,70,No,6,4,45.0,67
8,86,No,9,2,82.0,78
7,99,No,5,4,90.0,76
2,68,No,7,1,42.0,86
6,86,No,9,5,74.0,92
6,69,No,8,0,60.0,79
3,90,No,9,5,73.0,88
2,65,Yes,9,4,40.0,62
1,59,No,4,8,32.0,91
6,77,No,8,6,67.0,84
5,58,Yes,9,5,46.0,75
9,66,No,9,6,65.0,89
1,64,Yes,9,9,42.0,77
7,79,No,5,4,69.0,86
5,77,No,7,0,62.0,74
5,91,Yes,4,8,75.0,90
2,62,Yes,9,4,40.0,89
3,68,No,7,3,43.0,85
7,54,Yes,4,5,42.0,87
6,98,No,4,4,84.0,85
2,42,No,4,0,15.0,53
6,49,No,9,1,39.0,70
2,54,No,5,3,26.0,67
2,95,No,9,7,73.0,95
2,55,No,9,4,34.0,54
3,56,Yes,7,6,34.0,83
2,58,Yes,6,1,37.0,69
4,50,Yes,6,7,34.0,65
9,87,No,6,4,85.0,81
6,44,Yes,7,3,31.0,53
1,44,No,8,8,18.0,70
8,97,Yes,7,5,92.0,94
7,53,No,4,3,44.0,62
3,89,No,9,7,72.0,73
1,65,No,8,2,40.0,69
5,47,No,4,9,31.0,83
4,44,No,9,1,25.0,63
8,46,Yes,9,6,44.0,60
1,55,No,4,3,27.0,64
1,94,Yes,7,3,66.0,80
4,53,No,6,9,34.0,45
8,76,No,8,8,70.0,84
5,95,No,9,1,81.0,86
2,80,Yes,5,0,56.0,85
6,43,No,9,6,30.0,85
5,75,Yes,6,7,60.0,90
2,87,No,9,2,64.0,79
3,95,Yes,5,1,74.0,76
9,56,Yes,7,3,52.0,100
7,86,Yes,9,1,84.0,90
7,75,No,8,1,66.0,83
6,45,No,7,4,32.0,68
8,55,Yes,5,9,47.0,76
4,68,No,4,4,51.0,75
8,75,No,9,7,67.0,78
4,77,No,7,8,57.0,74
8,76,Yes,9,1,71.0,84
9,87,Yes,8,0,86.0,86
3,96,No,9,2,77.0,80
3,87,Yes,7,5,72.0,86
2,49,No,6,4,24.0,63
3,80,No,7,7,60.0,94
3,75,Yes,5,7,55.0,54
5,68,Yes,7,1,54.0,87
5,53,No,8,8,39.0,83
2,43,No,7,3,19.0,44
6,83,No,7,0,68.0,80
5,95,Yes,8,1,83.0,86
6,81,Yes,7,5,72.0,72
1,75,No,8,4,49.0,68
5,89,No,5,6,74.0,75
9,84,Yes,8,8,86.0,100
2,52,No,5,5,26.0,75
1,85,Yes,5,5,60.0,92
9,57,Yes,8,1,54.0,84
9,72,No,7,6,73.0,75
9,60,No,9,1,61.0,76
6,55,Yes,6,6,45.0,78
8,54,No,9,7,57.0,68
1,93,Yes,8,0,68.0,90
4,96,Yes,7,8,72.0,83
1,44,Yes,5,7,17.0,59
8,45,No,4,8,37.0,77
1,77,No,6,4,54.0,82
3,42,No,9,3,22.0,61
4,87,Yes,7,0,73.0,96
8,51,Yes,6,8,47.0,65
6,75,Yes,4,3,63.0,87
7,72,Yes,4,3,63.0,87
8,75,No,4,3,68.0,80
2,72,No,9,1,52.0,80
8,70,No,8,3,64.0,70
3,60,Yes,6,1,38.0,79
7,66,Yes,8,7,60.0,78
3,66,No,4,6,45.0,69
7,47,Yes,7,9,39.0,81
2,95,No,4,1,75.0,80
6,76,Yes,8,1,67.0,70
3,71,Yes,4,1,48.0,61
3,65,Yes,4,0,44.0,79
9,41,Yes,8,5,37.0,59
7,51,Yes,8,5,41.0,88
5,61,No,7,0,47.0,56
7,56,No,8,0,45.0,89
9,46,No,7,5,43.0,75
1,82,Yes,5,5,54.0,77
7,43,No,5,3,32.0,64
6,76,No,8,2,64.0,85
9,77,Yes,4,8,74.0,85
1,71,Yes,6,5,50.0,86
4,50,No,4,0,33.0,70
9,40,No,8,2,36.0,72
4,64,No,7,0,45.0,71
3,81,No,4,2,58.0,79
9,91,No,5,1,85.0,93
2,63,Yes,9,4,41.0,57
4,92,No,8,2,78.0,75
6,82,No,4,6,63.0,88
2,95,No,9,7,76.0,88
8,56,No,4,6,51.0,75
8,47,No,7,1,36.0,70
1,98,No,7,9,74.0,89
3,84,Yes,7,9,65.0,77
9,66,Yes,9,6,65.0,75
5,91,Yes,6,9,79.0,89
6,57,No,9,2,46.0,65
4,66,No,8,6,47.0,78
2,61,Yes,8,0,42.0,57
8,55,No,5,1,46.0,84
6,41,No,5,9,34.0,74
5,44,No,8,0,27.0,69
9,57,Yes,4,8,52.0,86
1,42,Yes,8,1,17.0,78
5,66,Yes,6,1,53.0,86
6,93,No,5,5,84.0,73
5,56,Yes,5,6,39.0,60
6,55,Yes,9,1,44.0,68
6,45,Yes,5,3,36.0,70
7,90,No,8,2,81.0,93
4,46,Yes,5,4,30.0,61
8,89,Yes,5,8,80.0,90
7,53,No,9,1,41.0,65
9,77,Yes,8,4,77.0,81
7,79,No,4,7,69.0,71
3,54,No,5,5,34.0,61
3,86,Yes,5,3,64.0,69
8,86,Yes,5,9,78.0,78
5,87,Yes,6,7,74.0,95
4,72,No,8,2,52.0,68
8,82,Yes,5,3,76.0,100
6,66,Yes,6,8,53.0,82
2,68,Yes,4,4,46.0,76
4,96,No,4,5,77.0,79
4,76,No,9,1,59.0,86
6,44,No,9,8,35.0,65
6,68,Yes,9,7,61.0,81
1,71,Yes,6,6,46.0,98
8,99,No,4,8,97.0,94
6,92,Yes,9,4,86.0,100
3,45,Yes,7,4,24.0,59
9,41,No,9,8,37.0,70
2,45,No,4,4,18.0,79
8,85,No,7,8,84.0,84
3,82,Yes,6,0,59.0,96
5,43,Yes,7,9,29.0,74
6,95,Yes,4,9,84.0,85
6,68,No,5,7,60.0,86
4,98,No,7,2,78.0,96
3,64,Yes,4,7,46.0,80
4,48,No,9,4,31.0,54
1,95,No,5,1,68.0,77
4,42,Yes,6,8,25.0,63
1,65,No,6,3,37.0,70
1,87,Yes,8,6,62.0,86
6,82,No,6,7,69.0,85
5,66,Yes,8,6,50.0,64
4,75,No,6,5,55.0,81
3,71,Yes,6,6,54.0,83
1,40,No,6,3,12.0,66
6,96,No,8,9,88.0,100
2,92,No,9,0,69.0,91
8,93,No,8,4,88.0,95
5,55,No,7,7,41.0,72
7,90,Yes,4,9,83.0,74
2,87,Yes,4,5,62.0,85
8,50,Yes,9,4,45.0,76
2,65,No,4,1,42.0,75
4,79,Yes,6,9,65.0,70
1,94,No,9,4,73.0,75
5,40,No,4,9,23.0,75
9,65,Yes,8,2,61.0,80
1,67,Yes,7,1,41.0,78
9,92,No,5,2,85.0,90
8,97,No,7,3,93.0,94
6,48,Yes,4,1,35.0,78
7,99,Yes,9,3,92.0,88
3,98,No,4,3,79.0,89
1,83,No,8,5,57.0,75
5,61,Yes,7,4,49.0,72
2,47,No,8,6,28.0,64
5,97,No,8,6,85.0,92
8,88,Yes,5,2,82.0,85
9,81,Yes,8,8,80.0,100
2,66,No,8,6,41.0,64
3,78,No,5,6,57.0,77
3,58,Yes,6,1,41.0,68
1,64,No,6,9,43.0,86
8,77,Yes,9,2,73.0,87
6,60,No,5,2,46.0,84
8,63,Yes,9,5,61.0,67
